Priority,Prospect,Region,Type,Primary ask,Secondary ask,Status,Next action
1,Bull Moose,Maine,Company,Newsletter and social launch placement,Founding sponsorship,Not started,Identify community marketing contact
2,Maine Community Foundation,Maine,Foundation,Eligibility and grant guidance,Funding introduction,Not started,Prepare Maine Expansion Arts materials
3,Maine Arts Commission,Maine,Public funder,Program and funding guidance,Partner introductions,Not started,Request introductory conversation
4,Bangor Savings Bank,Maine,Corporate sponsor,Founding launch sponsorship,Newsletter or customer promotion,Not started,Identify community giving contact
5,State Theatre Portland,Maine,Venue,Founding venue and showcase slot,Calendar and newsletter placement,Not started,Send venue invitation
6,Allagash Brewing Company,Maine,Sponsor,Event or launch sponsorship,Audience promotion,Not started,Identify community partnership contact
7,Berklee College of Music,Boston,Institution,Artist and alumni introductions,Newsletter or program partnership,Not started,Identify entrepreneurship or alumni contact
8,Jim Lucchese,Boston,Executive,Strategic introduction and advice,Founding gift,Not started,Prepare personal founder note
9,Carletta Higginson,New York,Music executive,Strategic introduction and advice,Founding gift,Not started,Prepare personal founder note
10,Grace Kelly,Boston,Artist,Founding artist amplification,Advisor introduction,Not started,Prepare artist-specific invitation
11,D'Addario Foundation,New York,Foundation,Program funding,Artist education partnership,Not started,Review eligibility and application route
12,New Music USA,New York,Funder,Future-cycle funding guidance,Editorial or network amplification,Not started,Prepare program summary
13,SoundCloud,National,Platform,Launch amplification or in-kind support,Technical or creator partnership,Not started,Identify social impact or creator partnerships contact
14,Bandcamp,National,Platform,Launch amplification,Artist referral and editorial support,Not started,Identify partnerships contact
15,UnitedMasters,National,Platform,Artist referral and launch amplification,Creator partnership,Not started,Identify partnerships contact
16,The Boston Foundation,Boston,Foundation,Funding guidance and introductions,Regional expansion support,Not started,Review arts and culture priorities
17,Pinkerton Foundation,New York,Foundation,Program funding,Introductions to youth music partners,Not started,Review eligibility and geographic focus
18,Troy Carter,New York,Investor,Strategic introduction and founding support,Creator-economy advice,Not started,Prepare concise founder note
19,Questlove,New York,Artist,Amplification and advisory introduction,Founding support,Not started,Prepare mission-aligned artist note
20,Steve Aoki,National,Artist,Amplification and founding support,Artist introduction,Not started,Prepare mission-aligned artist note
